Date,Open,High,Low,Close,Adj Close,Volume
2008-04-15,6581.120117,6626.879883,6524.899902,6585.049805,6585.049805,103557100
2008-04-16,6624.609863,6710.859863,6600.680176,6702.839844,6702.839844,147091600
2008-04-17,6717.279785,6743.140137,6665.009766,6681.810059,6681.810059,137785900
2008-04-18,6703.020020,6860.379883,6703.020020,6843.080078,6843.080078,167960700
2008-04-21,6840.680176,6848.649902,6749.720215,6786.549805,6786.549805,129834700
2008-04-22,6762.439941,6818.620117,6702.979980,6728.299805,6728.299805,130790600
2008-04-23,6739.649902,6813.669922,6656.859863,6795.029785,6795.029785,172878800
2008-04-24,6776.930176,6827.899902,6720.910156,6821.319824,6821.319824,157158300
2008-04-25,6855.669922,6945.250000,6848.899902,6896.580078,6896.580078,155785300
2008-04-28,6914.399902,6966.470215,6906.930176,6925.330078,6925.330078,107294800
2008-04-29,6905.419922,6909.990234,6855.109863,6885.339844,6885.339844,126652400
2008-04-30,6888.209961,6962.600098,6851.520020,6948.819824,6948.819824,139450800
2008-05-02,6982.060059,7092.819824,6971.930176,7043.229980,7043.229980,152864900
2008-05-05,7036.990234,7059.919922,7021.729980,7052.080078,7052.080078,79536200
2008-05-06,7043.649902,7062.370117,6969.160156,7017.100098,7017.100098,144985100
2008-05-07,7040.839844,7107.529785,7037.009766,7076.250000,7076.250000,119593700
2008-05-08,7037.629883,7073.450195,7013.060059,7071.899902,7071.899902,131059300
2008-05-09,7040.790039,7040.790039,6961.629883,7003.169922,7003.169922,130042700
2008-05-12,7021.290039,7064.600098,7006.419922,7035.950195,7035.950195,61975500
2008-05-13,7062.600098,7080.859863,7002.370117,7060.189941,7060.189941,141723700
2008-05-14,7081.720215,7101.490234,7001.330078,7083.240234,7083.240234,135234600
2008-05-15,7072.120117,7088.669922,7037.089844,7081.049805,7081.049805,137092800
2008-05-16,7103.839844,7205.959961,7103.839844,7156.549805,7156.549805,175540900
2008-05-19,7177.020020,7231.859863,7165.439941,7225.939941,7225.939941,110316800
2008-05-20,7188.069824,7188.979980,7108.250000,7118.500000,7118.500000,117533900
2008-05-21,7129.069824,7151.379883,7013.129883,7040.830078,7040.830078,160862900
2008-05-22,7016.209961,7090.229980,6980.540039,7070.330078,7070.330078,140538200
2008-05-23,7057.520020,7065.899902,6934.540039,6944.049805,6944.049805,130667300
2008-05-26,6923.939941,6965.189941,6917.609863,6953.839844,6953.839844,58329200
2008-05-27,6966.049805,7006.279785,6905.859863,6958.660156,6958.660156,125582800
2008-05-28,6980.689941,7082.259766,6955.140137,7033.839844,7033.839844,167514600
2008-05-29,7055.720215,7085.129883,7004.700195,7055.029785,7055.029785,146046400
2008-05-30,7065.790039,7124.609863,7063.799805,7096.790039,7096.790039,135334700
2008-06-02,7098.700195,7102.049805,6995.410156,7008.770020,7008.770020,102651900
2008-06-03,6986.919922,7023.180176,6962.379883,7019.129883,7019.129883,112961900
2008-06-04,6993.689941,6994.200195,6898.009766,6965.430176,6965.430176,123817500
2008-06-05,6964.709961,7008.930176,6905.009766,6941.830078,6941.830078,129444200
2008-06-06,6966.089844,7002.850098,6796.279785,6803.810059,6803.810059,160851400
2008-06-09,6790.180176,6839.319824,6762.729980,6815.629883,6815.629883,135317400
2008-06-10,6789.279785,6798.580078,6715.979980,6771.100098,6771.100098,142373800
2008-06-11,6781.879883,6812.879883,6637.750000,6650.259766,6650.259766,160825100
2008-06-12,6647.600098,6733.120117,6647.600098,6714.520020,6714.520020,152036400
2008-06-13,6701.500000,6777.870117,6649.620117,6765.319824,6765.319824,138997100
2008-06-16,6773.430176,6812.660156,6671.799805,6729.879883,6729.879883,114365700
2008-06-17,6743.500000,6855.839844,6743.479980,6796.160156,6796.160156,126669000
2008-06-18,6795.180176,6796.770020,6705.750000,6728.910156,6728.910156,129189800
2008-06-19,6704.220215,6765.100098,6662.459961,6721.169922,6721.169922,141452800
2008-06-20,6730.520020,6765.799805,6547.399902,6578.439941,6578.439941,302160900
2008-06-23,6586.830078,6628.720215,6572.509766,6589.459961,6589.459961,136967100
2008-06-24,6588.060059,6617.160156,6444.299805,6536.060059,6536.060059,188480700
2008-06-25,6551.660156,6628.620117,6547.709961,6617.839844,6617.839844,134741400
2008-06-26,6571.549805,6578.450195,6448.120117,6459.600098,6459.600098,155821800
2008-06-27,6449.040039,6464.899902,6348.029785,6421.910156,6421.910156,167525900
2008-06-30,6423.370117,6446.540039,6308.240234,6418.319824,6418.319824,151971200
2008-07-01,6394.080078,6405.430176,6260.330078,6315.939941,6315.939941,216006900
2008-07-02,6319.600098,6395.970215,6295.450195,6305.419922,6305.419922,199060400
2008-07-03,6262.979980,6392.080078,6200.560059,6353.740234,6353.740234,203908900
2008-07-04,6360.700195,6374.839844,6255.160156,6272.209961,6272.209961,98812300
2008-07-07,6312.319824,6416.240234,6286.669922,6395.750000,6395.750000,115661100
2008-07-08,6314.169922,6332.009766,6226.740234,6304.410156,6304.410156,190410900
2008-07-09,6330.689941,6397.819824,6330.689941,6386.459961,6386.459961,156252900
2008-07-10,6338.629883,6384.640137,6254.310059,6305.000000,6305.000000,157657600
2008-07-11,6310.169922,6332.109863,6139.740234,6153.299805,6153.299805,182436700
